City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
271,chillicothe,39.3331,-82.9824,22.17,68,0,0.0,US,1683591937
272,gargalianoi,37.0667,21.6333,16.86,59,100,1.47,GR,1683591948
273,chul'man,56.8479,124.9104,-1.7,72,60,4.5,RU,1683591954
274,polyarnyy,69.1989,33.4478,1.21,99,100,4.05,RU,1683591959
275,turpan,42.9333,89.1667,19.2,23,65,3.45,CN,1683591965
276,bubaque,11.2833,-15.8333,27.05,77,80,4.04,GW,1683591971
277,ceeldheer,3.8488,47.1806,26.3,84,47,7.58,SO,1683591981
278,baillif,16.0202,-61.7463,26.72,80,79,5.93,GP,1683591987
279,nogliki,51.8333,143.1667,1.7,84,98,4.32,RU,1683591992
280,tianshui,34.5439,105.6897,9.23,97,100,0.3,CN,1683591987
281,waingapu,-9.6567,120.2641,26.95,79,100,7.98,ID,1683592003
282,lebrija,36.9208,-6.0753,23.22,72,0,0.51,ES,1683592009
283,aktobe,50.2797,57.2072,9.05,53,0,5.0,KZ,1683592014
284,sona,45.4388,10.8255,16.55,94,40,0.51,IT,1683592020
285,fano,43.8204,13.0121,17.1,89,100,2.53,IT,1683592026
286,nemuro,43.3236,145.575,4.98,80,3,6.28,JP,1683592031
287,burutu,5.3509,5.5076,26.83,82,75,2.37,NG,1683592037
288,les avirons,-21.2418,55.3394,22.03,73,0,4.12,RE,1683592042
289,piacabucu,-10.4056,-36.4344,25.38,84,19,2.09,BR,1683592048
290,trevelin,-43.0858,-71.4639,7.71,67,93,1.61,AR,1683592059
291,kabare,-2.4683,28.8242,16.14,96,85,0.28,CD,1683592064
292,jinjing,24.575,118.5972,21.23,78,82,11.59,CN,1683592070
293,selfoss,63.9331,-20.9971,9.47,94,100,1.67,IS,1683592029
294,khandyga,62.6667,135.6,-0.66,47,87,1.9,RU,1683592081
295,afaahiti,-17.75,-149.2833,28.93,76,34,2.36,PF,1683591832
296,arraial do cabo,-22.9661,-42.0278,24.31,83,6,8.64,BR,1683592090
297,nova sintra,14.8667,-24.7167,20.47,80,0,8.55,CV,1683592097
298,arteche,12.2645,125.4048,28.72,69,70,0.49,PH,1683592103
299,malanville,11.8685,3.3899,31.48,34,10,2.65,BJ,1683592109
300,richards bay,-28.783,32.0377,19.43,85,100,2.27,ZA,1683592114
301,soledade,-28.8183,-52.5103,11.02,93,91,0.78,BR,1683592120
302,tolanaro,-25.0319,46.9987,22.04,88,20,5.14,MG,1683592125
303,neelankarai,12.9455,80.2575,28.35,89,20,1.03,IN,1683592131
304,jamestown,42.097,-79.2353,16.77,47,0,3.6,US,1683592074
305,tegueste,28.5167,-16.3167,18.88,86,40,6.17,ES,1683592104
306,rongelap,11.1635,166.8941,27.25,80,98,7.7,MH,1683592153
307,mejit,10.2753,170.8646,27.72,82,100,7.19,MH,1683592164
308,san martin de los andes,-40.1604,-71.3486,8.82,68,97,0.45,AR,1683592169
309,glace bay,46.1969,-59.957,4.32,95,100,7.2,CA,1683592175
310,corner brook,48.9667,-57.9484,3.09,95,100,2.01,CA,1683592181
311,wad az zaki,14.4619,32.2065,29.35,13,3,7.04,SD,1683592186
312,colesberg,-30.72,25.0972,13.12,63,75,1.37,ZA,1683592192
313,coruripe,-10.1256,-36.1756,25.15,84,15,2.11,BR,1683592085
314,igarka,67.4667,86.5833,-5.84,92,100,3.17,RU,1683592203
315,ha'il,27.5219,41.6907,22.01,28,0,1.03,SA,1683592091
316,kismayo,-0.3582,42.5454,26.46,81,99,6.54,SO,1683592214
317,cacador,-26.7753,-51.015,14.81,99,89,0.43,BR,1683592009
318,sidney,-33.8679,151.2073,17.95,53,75,7.2,AU,1683592228
319,iskateley,67.6803,53.1512,-0.85,85,100,5.74,RU,1683592236
320,punta del este,-34.9667,-54.95,16.04,87,0,6.26,UY,1683592202
321,culebra,18.303,-65.301,28.05,84,100,3.13,PR,1683592247
322,remire-montjoly,4.9167,-52.2667,25.02,100,75,3.6,GF,1683592253
323,sangin,32.0728,64.8359,19.94,13,0,0.93,AF,1683592259
324,campbellton,48.0075,-66.6727,5.25,62,100,2.08,CA,1683592264
325,prado,-17.3411,-39.2208,23.71,89,0,2.89,BR,1683592270
326,balkanabat,39.5108,54.3671,21.05,52,6,3.05,TM,1683592276
327,acarau,-2.8856,-40.12,25.89,85,68,3.85,BR,1683592173
328,hell-ville,-13.4,48.2667,25.59,76,0,2.9,MG,1683592287
329,utrik,11.2278,169.8474,26.94,84,100,8.53,MH,1683592292
330,wanning,18.8003,110.3967,27.05,86,91,4.51,CN,1683592298
331,queenstown,-31.8976,26.8753,10.1,83,89,0.99,ZA,1683592128
332,tofol,5.3248,163.0078,27.88,83,100,2.57,FM,1683592309
333,shimanovsk,52.0,127.7,5.63,48,100,8.19,RU,1683592315
334,san andres,12.5847,-81.7006,29.01,70,20,3.6,CO,1683592320
335,puerto maldonado,-12.6,-69.1833,21.29,97,99,1.07,PE,1683592126
336,uturoa,-16.7333,-151.4333,27.86,74,15,3.43,PF,1683592332
337,kralendijk,12.15,-68.2667,26.99,83,75,8.23,BQ,1683592251
338,brisas de zicatela,15.8369,-97.0419,31.29,66,40,3.09,MX,1683592343
339,cabras,39.93,8.5314,13.29,88,5,2.65,IT,1683592348
340,bozhou,33.8772,115.7703,16.78,53,10,2.88,CN,1683592181
341,olyokminsk,60.3736,120.4264,4.64,62,98,3.4,RU,1683592359
342,salinas,36.6777,-121.6555,19.44,67,0,6.69,US,1683592339
343,bikenibeu village,1.3673,173.1241,30.98,70,40,3.6,KI,1683592370
344,tamanrasset,22.785,5.5228,24.95,12,0,1.54,DZ,1683592376
345,kearney,40.6995,-99.0815,26.95,25,0,3.6,US,1683592382
346,liwale,-9.7667,37.9333,17.12,82,0,1.89,TZ,1683592387
347,rzhaksa,52.1338,42.0264,2.73,71,100,3.87,RU,1683592393
348,pimentel,-6.8367,-79.9342,25.16,78,20,8.75,PE,1683592398
349,chimore,-16.9833,-65.1333,19.87,94,100,0.45,BO,1683592404
350,sao vicente,-23.9631,-46.3919,27.37,26,11,1.65,BR,1683592385
351,pijijiapan,15.7011,-93.23,28.9,77,12,1.35,MX,1683592415
352,vargem grande,-3.5431,-43.9158,24.37,86,32,0.46,BR,1683592420
353,akalgarh,29.8167,75.8833,24.87,34,0,2.3,IN,1683592426
354,fisterra,42.9049,-9.2629,17.79,97,100,3.86,ES,1683592432
355,as sulayyil,20.4607,45.5779,29.14,17,32,4.03,SA,1683592443
356,konstantinovka,49.6167,127.9833,7.87,36,100,10.03,RU,1683592449
357,al minya,28.1099,30.7503,19.29,59,0,5.78,EG,1683592454
358,la verne,34.1008,-117.7678,24.13,61,0,6.69,US,1683592460
359,pak phanang,8.3511,100.202,27.01,78,100,1.38,TH,1683592465
360,kashgar,39.4547,75.9797,11.56,43,0,4.0,CN,1683592471
